"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lyst",2520.29843576325,-0.459437031838091,0.072771535991327,42.0278276121394,7.47778872941234e-10,9.36946717555557e-08
"Pcdhac2",1868.95125779432,-0.303801165088466,0.047694354305985,41.885923893631,8.02762712564792e-10,9.96859268424208e-08
"Dennd4a",4620.90439115469,-0.218345996314108,0.0349979712988801,41.8225752181168,8.28596666736865e-10,1.01983384433419e-07
"Chd8",4164.76766078641,-0.220386303712813,0.035308085106555,41.7586614907386,8.55503659175535e-10,1.04371446419415e-07
"Csrnp3",4650.28186173283,-0.20867381996269,0.0333359877548801,41.2625835140185,1.09633640460403e-09,1.32589971436807e-07
"Rxfp2",65.1932594849523,1.18516721902287,0.184578199487607,41.0867784135496,1.19706967173171e-09,1.43090724077898e-07
"Nalcn",5540.00185416317,-0.19551202223754,0.0305269460608107,41.0756650641471,1.20373991351122e-09,1.43090724077898e-07
"Fam135b",1177.12157579199,-0.511738685410524,0.0801978615909142,40.9272293693095,1.29647773448273e-09,1.52808579077846e-07
"2900055J20Rik",274.469572274949,-0.584332274247645,0.0923655954707028,40.7660937327182,1.40525526644738e-09,1.64237733157565e-07
"Zkscan16",994.69057175167,-0.381958445951453,0.0607964595414112,40.7325519664471,1.42902137053346e-09,1.65220152206013e-07
"Sptan1",58444.9458669527,-0.127588028959443,0.0203489438472048,40.712539305578,1.44339241134644e-09,1.65220152206013e-07
"Epha6",691.758897391759,-0.517191227772301,0.082538142757749,40.7043708899492,1.4492995807545e-09,1.65220152206013e-07
"Cdh6",760.934560313374,-0.405800861155146,0.0651516109871007,40.4455915751297,1.64949643328186e-09,1.86513791821822e-07
"Ndufs4",1966.08544438819,0.272029817121715,0.0440245992530429,40.2951893397591,1.77832367875451e-09,1.99459078420304e-07
"Tnrc6b",5074.53321406414,-0.327150455962168,0.0524328589289461,40.2600865712961,1.8098112377409e-09,2.01366837556004e-07
"Gabrb1",866.605529960402,-0.401420180270552,0.0680157484766316,40.0552578279939,2.00498568874389e-09,2.20418924446715e-07
"Myh10",12194.2525046957,-0.212157038652961,0.0338836349886021,40.0475366118542,2.01274111336877e-09,2.20418924446715e-07
"Son",12320.4537475226,-0.184516968114327,0.0304855830601192,39.8112272028948,2.2651754912156e-09,2.46125474467395e-07
"Hs6st3",710.790299697007,-0.542411711139872,0.0886039395046946,39.547732948964,2.58415705136233e-09,2.74871194292578e-07
"Matn2",983.972310427801,-0.317812400982321,0.0522041805846191,39.5460523926016,2.58632937469956e-09,2.74871194292578e-07
"Pde1a",9330.53410715849,-0.27628886654288,0.0447244652312518,39.5439708066466,2.58902260945698e-09,2.74871194292578e-07
"Gnb2l1",5271.85639214138,0.184671643968717,0.0307945023872935,39.3483074365526,2.85511498904551e-09,2.99206753531042e-07
"Ksr2",1114.17314685678,-0.495389222419172,0.0798213451867742,39.3440027680896,2.86126676873948e-09,2.99206753531042e-07
"Bbip1",1487.89131773295,0.242667859513092,0.0398408129519401,39.3224114848081,2.89232331546244e-09,2.99806951510867e-07
"Ids",21206.1668109709,-0.18188397988316,0.0291088507709306,39.3101435581501,2.91011924460505e-09,2.99806951510867e-07
"Uhmk1",2011.33999517484,-0.354785142524858,0.0582383934464471,39.1402666389715,3.16810151546137e-09,3.23984969684093e-07
"Atp5o",5057.16765465128,0.267575323570513,0.0430259015190906,38.9310445254864,3.51747560339694e-09,3.570879612558e-07
"Gm15800",13883.1061959916,-0.304555022628919,0.0493365345846218,38.9159924860423,3.54404806115633e-09,3.57178408946103e-07
"Chl1",9515.17560695035,-0.279390603581188,0.0452699287176381,38.8569453145635,3.6502409520092e-09,3.65234181011108e-07
"Pcdhgc5",3743.12560217372,-0.319456989532983,0.0518117872563048,38.8128665805827,3.73158302331237e-09,3.70706119201632e-07
"Cntnap2",3516.32543518383,-0.263516129518208,0.0448874782486695,38.7851214685643,3.78371035146625e-09,3.73218748710586e-07
"Ubr1",2661.25564205406,-0.247266631568046,0.0427303057630464,38.7377291755391,3.87444043759489e-09,3.79476884549787e-07
"Bcas3",1859.88193817198,-0.232107275745884,0.0377290300549557,38.6434380482255,4.06147745599519e-09,3.95014185020847e-07
"Vps13b",2954.38066417706,-0.236306250512044,0.0384839195920761,38.5927994257627,4.16562416554253e-09,4.02329867321983e-07
"Smg1",7666.77646947085,-0.329185451131291,0.0549977912442173,38.5242544986468,4.31086503271264e-09,4.13486281896327e-07
