"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acap2",4225.09699418804,-0.184156601837492,0.0333112867677795,-5.52835449201616,3.23248371025021e-08,2.02389396747332e-06
"Slitrk1",3910.07117958822,-0.263923063162416,0.0478462530918787,-5.51606544102016,3.46673214189066e-08,2.15478290158776e-06
"Utrn",2874.05148008091,-0.23102817915151,0.0418853501948503,-5.51572752947675,3.47340041811692e-08,2.15478290158776e-06
"Polr3a",1253.83726719619,-0.277029481121718,0.0502592298773344,-5.5120120582399,3.54754609532842e-08,2.19073120516993e-06
"2410089E03Rik",1811.68739538281,-0.307627282641903,0.0559094546344177,-5.5022408044118,3.74994288787384e-08,2.30519216434572e-06
"Snap91",17150.9352036929,-0.133139868583685,0.0242787134373909,-5.48381070220304,4.16260188966903e-08,2.54728633284543e-06
"Slc8a2",13314.3631740203,-0.23974381423674,0.0438354437085368,-5.46917731301648,4.52129263798192e-08,2.75172127139701e-06
"Ash1l",6414.60874727724,-0.263687449657179,0.0482189138541761,-5.46854809825505,4.53736944337129e-08,2.75172127139701e-06
"Selk",3262.37870460875,0.203847013251812,0.0373196669600261,5.46218736276924,4.70303314805979e-08,2.8394562631411e-06
"Rpl18a",4042.84417347897,0.263951758873877,0.0483366026511943,5.46070150561885,4.74256853728859e-08,2.85059986214626e-06
"Brwd3",508.331705015123,-0.327041106424341,0.0599404887435527,-5.45609675996374,4.86714774495852e-08,2.90520385938544e-06
"Apc",37805.7266363675,-0.272601564651684,0.0499658262285869,-5.45576017105309,4.87637737415332e-08,2.90520385938544e-06
"2210018M11Rik",2048.96716405406,-0.232219635020761,0.042587620089855,-5.45274975522944,4.95968414780716e-08,2.94187580767298e-06
"Rpsa",12485.448679354,0.219554183520619,0.0402894677684789,5.44941881045127,5.05346856530859e-08,2.98441523481369e-06
"Arid5b",836.468034875127,-0.447677327852087,0.0821714471392235,-5.44808864195351,5.09139842081392e-08,2.99374227143858e-06
"Golgb1",4868.24027596274,-0.194223678907057,0.0356798466191332,-5.44351215912754,5.22401659904505e-08,3.05436801258702e-06
"Ift172",2309.52712255733,-0.235959537249158,0.0433511727905667,-5.44297932582123,5.23967301774763e-08,3.05436801258702e-06
"Gnb5",4884.28593176524,0.154308479775251,0.0283552869558482,5.44196502103907,5.26960245061457e-08,3.0586310533095e-06
"Golga3",1975.67590438184,-0.185235282560245,0.0340494524833406,-5.44018388110279,5.32256055694741e-08,3.06886408581632e-06
"Ptpn4",2312.06205138471,-0.359839774849992,0.0661488704592576,-5.43984760966742,5.33261653480357e-08,3.06886408581632e-06
"Rpl6",6258.73934165745,0.187015782956798,0.034384263463239,5.43899342665113,5.35824318082427e-08,3.0705457956554e-06
"Ndufv2",3720.20526957118,0.207426618626187,0.0381972690168806,5.43040442327219,5.62264860126667e-08,3.20846834107723e-06
"Sdhd",2718.05638731605,0.225258504780367,0.0415099918314614,5.42660922929013,5.74346823700763e-08,3.26364136291139e-06
"Trp53bp1",4656.41223941581,-0.156589496206968,0.0288724883724314,-5.42348460538254,5.84482512731623e-08,3.30733954066212e-06
